season,team,fg,fg%,3pt,3p%,ft,ft%,or,dr,reb,ast,blk,stl,pf,to,pts,player
2003-04,CLE,622-1492,41.7,63-217,29.0,347-460,75.4,99,333,432,465,58,130,149,273,1654,1
2004-05,CLE,795-1684,47.2,108-308,35.1,477-636,75.0,111,477,588,577,52,177,146,262,2175,1
2005-06,CLE,875-1823,48.0,127-379,33.5,601-814,73.8,75,481,556,521,66,123,181,260,2478,1
2006-07,CLE,772-1621,47.6,99-310,31.9,489-701,69.8,83,443,526,470,55,125,171,250,2132,1
2007-08,CLE,794-1642,48.4,113-359,31.5,549-771,71.2,133,459,592,539,81,138,165,255,2250,1
2008-09,CLE,789-1613,48.9,132-384,34.4,594-762,78.0,106,507,613,587,93,137,139,241,2304,1
2009-10,CLE,768-1528,50.3,129-387,33.3,593-773,76.7,71,483,554,651,77,125,119,261,2258,1
2010-11,MIA,758-1485,51.0,92-279,33.0,503-663,75.9,80,510,590,554,50,124,163,284,2111,1
2011-12,MIA,621-1169,53.1,54-149,36.2,387-502,77.1,94,398,492,387,50,115,96,213,1683,1
2012-13,MIA,765-1354,56.5,103-254,40.6,403-535,75.3,97,513,610,551,67,129,110,226,2036,1
2013-14,MIA,767-1353,56.7,116-306,37.9,439-585,75.0,81,452,533,488,26,121,126,270,2089,1
2014-15,CLE,624-1279,48.8,120-339,35.4,375-528,71.0,51,365,416,511,49,109,135,272,1743,1
2015-16,CLE,737-1416,52.0,87-282,30.9,359-491,73.1,111,454,565,514,49,104,143,249,1920,1
2016-17,CLE,736-1344,54.8,124-342,36.3,358-531,67.4,97,542,639,646,44,92,134,303,1954,1
2017-18,CLE,857-1580,54.2,149-406,36.7,388-531,73.1,97,612,709,747,71,116,136,347,2251,1
2018-19,LAL,558-1095,51.0,111-327,33.9,278-418,66.5,57,408,465,454,33,72,94,197,1505,1
2019-20,LAL,643-1303,49.3,148-425,34.8,264-381,69.3,66,459,525,684,36,78,118,261,1698,1
2020-21,LAL,388-756,51.3,98-266,36.8,168-239,70.3,24,299,323,323,24,43,65,152,1042,1
Career,,12869-25537,50.4,1973-5719,34.5,7572-10321,73.4,1533,8195,9728,9669,981,2058,2390,4576,35283,1
1996-97,LAL,176-422,41.7,51-136,37.5,136-166,81.9,47,85,132,91,23,49,102,112,539,2
1997-98,LAL,391-913,42.8,75-220,34.1,363-457,79.4,79,163,242,199,40,74,180,157,1220,2
1998-99,LAL,362-779,46.5,27-101,26.7,245-292,83.9,53,211,264,190,50,72,153,157,996,2
1999-00,LAL,554-1183,46.8,46-144,31.9,331-403,82.1,108,308,416,323,62,106,220,182,1485,2
2000-01,LAL,701-1510,46.4,61-200,30.5,475-557,85.3,104,295,399,338,43,114,222,220,1938,2
2001-02,LAL,749-1597,46.9,33-132,25.0,488-589,82.9,112,329,441,438,35,118,228,223,2019,2
2002-03,LAL,868-1924,45.1,124-324,38.3,601-713,84.3,106,458,564,481,67,181,218,288,2461,2
2003-04,LAL,516-1178,43.8,71-217,32.7,454-533,85.2,103,256,359,330,28,112,176,171,1557,2
2004-05,LAL,573-1324,43.3,131-387,33.9,542-664,81.6,95,297,392,398,53,86,174,270,1819,2
2005-06,LAL,978-2173,45.0,180-518,34.7,696-819,85.0,71,354,425,360,30,147,233,250,2832,2
2006-07,LAL,813-1757,46.3,137-398,34.4,667-768,86.8,75,364,439,413,36,111,205,255,2430,2
2007-08,LAL,775-1690,45.9,150-415,36.1,623-742,84.0,94,423,517,441,40,151,227,257,2323,2
2008-09,LAL,800-1712,46.7,118-336,35.1,483-564,85.6,90,339,429,399,37,120,189,210,2201,2
2009-10,LAL,716-1569,45.6,99-301,32.9,439-541,81.1,78,313,391,365,20,113,187,233,1970,2
2010-11,LAL,740-1639,45.1,115-356,32.3,483-583,82.8,83,336,419,388,12,99,172,243,2078,2
2011-12,LAL,574-1336,43.0,87-287,30.3,381-451,84.5,66,247,313,264,18,69,105,204,1616,2
2012-13,LAL,738-1595,46.3,132-407,32.4,525-626,83.9,66,367,433,469,25,106,173,287,2133,2
2013-14,LAL,31-73,42.5,3-16,18.8,18-21,85.7,2,24,26,38,1,7,9,34,83,2
2014-15,LAL,266-713,37.3,54-184,29.3,196-241,81.3,26,173,199,197,7,47,65,128,782,2
2015-16,LAL,398-1113,35.8,133-467,28.5,232-281,82.6,41,206,247,184,13,62,115,129,1161,2
Career,,11719-26200,44.7,1827-5546,32.9,8378-10011,83.7,1499,5548,7047,6306,640,1944,3353,4010,33643,2
1985,CHI,837-1625,51.5,9-52,17.3,630-746,84.4,167,367,534,481,69,196,285,291,2313,3
1986,CHI,150-328,45.7,3-18,16.7,105-125,84.0,23,41,64,53,21,37,46,45,408,3
1987,CHI,1098-2279,48.2,12-66,18.2,833-972,85.7,166,264,430,377,125,236,237,272,3041,3
1988,CHI,1069-1998,53.5,7-53,13.2,723-860,84.1,139,310,449,485,131,259,270,252,2868,3
1989,CHI,966-1795,53.8,27-98,27.6,674-793,85.0,149,503,652,650,65,234,247,290,2633,3
1990,CHI,1034-1964,52.6,92-245,37.6,593-699,84.8,143,422,565,519,54,227,241,247,2753,3
1991,CHI,990-1837,53.9,29-93,31.2,571-671,85.1,118,374,492,453,83,223,229,202,2580,3
1992,CHI,943-1818,51.9,27-100,27.0,491-590,83.2,91,420,511,489,75,182,201,200,2404,3
1993,CHI,992-2003,49.5,81-230,35.2,476-569,83.7,135,387,522,428,61,221,188,207,2541,3
1994-95,CHI,166-404,41.1,16-32,50.0,109-136,80.1,25,92,117,90,13,30,47,35,457,3
1995-96,CHI,916-1850,49.5,111-260,42.7,548-657,83.4,148,395,543,352,42,180,195,197,2491,3
1996-97,CHI,920-1892,48.6,111-297,37.4,480-576,83.3,113,369,482,352,44,140,156,166,2431,3
1997-98,CHI,881-1893,46.5,30-126,23.8,565-721,78.4,130,345,475,283,45,141,151,185,2357,3
2001-02,WSH,551-1324,41.6,10-53,18.9,263-333,79.0,50,289,339,310,26,85,119,162,1375,3
2002-03,WSH,679-1527,44.5,16-55,29.1,266-324,82.1,71,426,497,311,39,123,171,173,1640,3
Career,,12192-24537,49.7,581-1778,32.7,7327-8772,83.5,1668,5004,6672,5633,893,2514,2783,2924,32292,3
